system,reference,variable,treatment_mean,reference_mean,p_value,comparison,entry
NA,Alley,active_carbon,519.3774988875,467.41395692500004,0.10252959447997806,entry,A
NA,Alley,active_carbon,538.8568496625,467.41395692500004,0.03825294437998262,entry,B
NA,Alley,active_carbon,484.573363175,467.41395692500004,0.5877261516983062,entry,Corn
Corn,Alley,active_carbon,484.573363175,467.41395692500004,0.5877261516983062,system,NA
EWM,Alley,active_carbon,523.5298531125,467.41395692500004,0.0795265519714477,system,NA
HF,Alley,active_carbon,577.6472277500001,467.41395692500004,0.0209133833934512,system,NA
LF,Alley,active_carbon,509.848704875,467.41395692500004,0.16090631814083767,system,NA
RT,Alley,active_carbon,505.4429113625,467.41395692500004,0.3045471210861287,system,NA
Corn,Alley,active_carbon,484.573363175,467.41395692500004,0.5877261516983062,system_entry,Corn
EWM,Alley,active_carbon,517.037104775,467.41395692500004,0.11115175452061003,system_entry,A
EWM,Alley,active_carbon,530.02260145,467.41395692500004,0.05942680044876451,system_entry,B
HF,Alley,active_carbon,577.4131322750001,467.41395692500004,0.04505970847628512,system_entry,A
HF,Alley,active_carbon,577.881323225,467.41395692500004,0.18147964603125466,system_entry,B
LF,Alley,active_carbon,501.732769475,467.41395692500004,0.3510100024547044,system_entry,A
LF,Alley,active_carbon,517.964640275,467.41395692500004,0.112703873366518,system_entry,B
RT,Alley,active_carbon,481.326989025,467.41395692500004,0.7733603549266028,system_entry,A
RT,Alley,active_carbon,529.5588336999999,467.41395692500004,0.2213548106929618,system_entry,B
NA,Alley,aggregate_stability,14.3419447580625,23.2747736425,3.915315052629049e-4,entry,A
NA,Alley,aggregate_stability,17.45125664375,23.2747736425,0.004986588713047756,entry,B
NA,Alley,aggregate_stability,5.716788834,23.2747736425,5.1304660514366016e-5,entry,Corn
Corn,Alley,aggregate_stability,5.716788834,23.2747736425,5.1304660514366016e-5,system,NA
EWM,Alley,aggregate_stability,13.735373331125,23.2747736425,3.3875672730379445e-4,system,NA
HF,Alley,aggregate_stability,15.22462709375,23.2747736425,0.0010746568890888707,system,NA
LF,Alley,aggregate_stability,15.96692338,23.2747736425,0.005159552878355737,system,NA
RT,Alley,aggregate_stability,18.65947899875,23.2747736425,0.06755670263669998,system,NA
Corn,Alley,aggregate_stability,5.716788834,23.2747736425,5.1304660514366016e-5,system_entry,Corn
EWM,Alley,aggregate_stability,12.15739680225,23.2747736425,0.0024466827493556803,system_entry,A
EWM,Alley,aggregate_stability,15.313349859999999,23.2747736425,0.002572114095329462,system_entry,B
HF,Alley,aggregate_stability,14.4257587575,23.2747736425,0.001592882487767578,system_entry,A
HF,Alley,aggregate_stability,16.02349543,23.2747736425,0.008312093809268567,system_entry,B
LF,Alley,aggregate_stability,14.417346187500002,23.2747736425,0.0412815098145609,system_entry,A
LF,Alley,aggregate_stability,17.5165005725,23.2747736425,0.05987885484966548,system_entry,B
RT,Alley,aggregate_stability,16.367277285,23.2747736425,0.022079476799055003,system_entry,A
RT,Alley,aggregate_stability,20.9516807125,23.2747736425,0.5417081494579019,system_entry,B
NA,Alley,al,1.6807614253125,1.857060698,0.10573486718519855,entry,A
NA,Alley,al,1.809420292125,1.857060698,0.6483290115614335,entry,B
NA,Alley,al,2.5055488095,1.857060698,0.03793896093578576,entry,Corn
Corn,Alley,al,2.5055488095,1.857060698,0.03793896093578576,system,NA
EWM,Alley,al,1.72669973275,1.857060698,0.3962401800948637,system,NA
HF,Alley,al,1.587908022625,1.857060698,0.003150456304342954,system,NA
LF,Alley,al,1.7950550125,1.857060698,0.6722277325166713,system,NA
RT,Alley,al,1.870700667,1.857060698,0.9442690867432619,system,NA
Corn,Alley,al,2.5055488095,1.857060698,0.03793896093578576,system_entry,Corn
EWM,Alley,al,1.5332151455,1.857060698,0.1039827749216417,system_entry,A
EWM,Alley,al,1.9201843200000002,1.857060698,0.7927054972258512,system_entry,B
HF,Alley,al,1.527249286,1.857060698,0.01784769555657867,system_entry,A
HF,Alley,al,1.64856675925,1.857060698,0.09725714098902581,system_entry,B
LF,Alley,al,1.7427978165,1.857060698,0.4184140184454068,system_entry,A
LF,Alley,al,1.8473122085,1.857060698,0.9732690702077035,system_entry,B
RT,Alley,al,1.91978345325,1.857060698,0.8641526851316168,system_entry,A
RT,Alley,al,1.8216178807499999,1.857060698,0.8805029949276957,system_entry,B
NA,Alley,ca,2285.4385976875,2016.104956,0.525318667167483,entry,A
NA,Alley,ca,2367.484147,2016.104956,0.39929654579117824,entry,B
NA,Alley,ca,1932.50222425,2016.104956,0.902978352525664,entry,Corn
Corn,Alley,ca,1932.50222425,2016.104956,0.902978352525664,system,NA
EWM,Alley,ca,1998.521691125,2016.104956,0.9628097758960957,system,NA
HF,Alley,ca,2667.334493,2016.104956,0.3437468476192994,system,NA
LF,Alley,ca,1920.36990525,2016.104956,0.7818224251748065,system,NA
RT,Alley,ca,2719.6194,2016.104956,0.23401573150781393,system,NA
Corn,Alley,ca,1932.50222425,2016.104956,0.902978352525664,system_entry,Corn
EWM,Alley,ca,1951.17078925,2016.104956,0.8953663274585,system_entry,A
EWM,Alley,ca,2045.872593,2016.104956,0.9475590381520844,system_entry,B
HF,Alley,ca,2437.3523972499997,2016.104956,0.665968513499062,system_entry,A
HF,Alley,ca,2897.31658875,2016.104956,0.42118674913807,system_entry,B
LF,Alley,ca,1903.80537775,2016.104956,0.7906129996968506,system_entry,A
LF,Alley,ca,1936.93443275,2016.104956,0.8362227434178555,system_entry,B
RT,Alley,ca,2849.4258265,2016.104956,0.3906873798516442,system_entry,A
RT,Alley,ca,2589.8129735,2016.104956,0.45417617181349795,system_entry,B
NA,Alley,cu,0.0669143775,0.07108308975,0.38815541659837033,entry,A
NA,Alley,cu,0.08205156887500001,0.07108308975,0.15675960305410674,entry,B
NA,Alley,cu,0.05078450325,0.07108308975,0.00574397821572293,entry,Corn
Corn,Alley,cu,0.05078450325,0.07108308975,0.00574397821572293,system,NA
EWM,Alley,cu,0.0782527195,0.07108308975,0.6013641544759317,system,NA
HF,Alley,cu,0.072602936125,0.07108308975,0.8337034248821719,system,NA
LF,Alley,cu,0.072793579625,0.07108308975,0.7886404921432228,system,NA
RT,Alley,cu,0.0742826575,0.07108308975,0.5673046299977265,system,NA
Corn,Alley,cu,0.05078450325,0.07108308975,0.00574397821572293,system_entry,Corn
EWM,Alley,cu,0.06318915825,0.07108308975,0.20121449855066317,system_entry,A
EWM,Alley,cu,0.09331628075000001,0.07108308975,0.42643147116362684,system_entry,B
HF,Alley,cu,0.06631927274999999,0.07108308975,0.48046147362004643,system_entry,A
HF,Alley,cu,0.0788865995,0.07108308975,0.5351776833596796,system_entry,B
LF,Alley,cu,0.07291484200000001,0.07108308975,0.848801985816293,system_entry,A
LF,Alley,cu,0.07267231725,0.07108308975,0.849814899446997,system_entry,B
RT,Alley,cu,0.065234237,0.07108308975,0.28412494295414514,system_entry,A
RT,Alley,cu,0.083331078,0.07108308975,0.03859446046912686,system_entry,B
NA,Alley,fe,0.507185825625,0.41487801125,0.14088458677894974,entry,A
NA,Alley,fe,0.5532679361875,0.41487801125,0.01632969173731691,entry,B
NA,Alley,fe,0.52773358925,0.41487801125,0.04823030451790431,entry,Corn
Corn,Alley,fe,0.52773358925,0.41487801125,0.04823030451790431,system,NA
EWM,Alley,fe,0.504564444875,0.41487801125,0.17063078057850298,system,NA
HF,Alley,fe,0.467531689875,0.41487801125,0.21496291864592892,system,NA
LF,Alley,fe,0.5592519585,0.41487801125,0.15411920780139002,system,NA
RT,Alley,fe,0.589559430375,0.41487801125,0.1151460481477351,system,NA
Corn,Alley,fe,0.52773358925,0.41487801125,0.04823030451790431,system_entry,Corn
EWM,Alley,fe,0.40338232949999997,0.41487801125,0.6984171301603423,system_entry,A
EWM,Alley,fe,0.60574656025,0.41487801125,0.10668872394035003,system_entry,B
HF,Alley,fe,0.45210991325,0.41487801125,0.4173842779165376,system_entry,A
HF,Alley,fe,0.48295346650000004,0.41487801125,0.3311002632422967,system_entry,B
LF,Alley,fe,0.5493632085,0.41487801125,0.24496432724341421,system_entry,A
LF,Alley,fe,0.5691407085,0.41487801125,0.4250292669492694,system_entry,B
RT,Alley,fe,0.62388785125,0.41487801125,0.3749911072669279,system_entry,A
RT,Alley,fe,0.5552310094999999,0.41487801125,0.030972404308714563,system_entry,B
NA,Alley,k,34.186952571875,33.473405145,0.8439656231282844,entry,A
NA,Alley,k,37.195470410625,33.473405145,0.3669418412426228,entry,B
NA,Alley,k,31.48840818,33.473405145,0.6652916203894125,entry,Corn
Corn,Alley,k,31.48840818,33.473405145,0.6652916203894125,system,NA
EWM,Alley,k,34.1411328675,33.473405145,0.8632267907060067,system,NA
HF,Alley,k,38.4401481225,33.473405145,0.42564972368297915,system,NA
LF,Alley,k,33.0254731025,33.473405145,0.8974786958195395,system,NA
RT,Alley,k,37.1580918725,33.473405145,0.3351122533587475,system,NA
Corn,Alley,k,31.48840818,33.473405145,0.6652916203894125,system_entry,Corn
EWM,Alley,k,31.901578735,33.473405145,0.6789048803558186,system_entry,A
EWM,Alley,k,36.380687,33.473405145,0.5763312974338166,system_entry,B
HF,Alley,k,36.4124618025,33.473405145,0.6929807265465809,system_entry,A
HF,Alley,k,40.4678344425,33.473405145,0.5083423733870538,system_entry,B
LF,Alley,k,33.11860494,33.473405145,0.9209044358591432,system_entry,A
LF,Alley,k,32.932341265,33.473405145,0.8906917154514742,system_entry,B
RT,Alley,k,35.31516481,33.473405145,0.6454778564150717,system_entry,A
RT,Alley,k,39.001018935,33.473405145,0.20179636648487992,system_entry,B
NA,Alley,mg,161.873464575,164.49450655,0.8051427361536125,entry,A
NA,Alley,mg,165.60012900625,164.49450655,0.9163669457315305,entry,B
NA,Alley,mg,132.47547277500001,164.49450655,0.11805423017547219,entry,Corn
